company_name,location,objective_signal,title_match,open_roles,priority,fit,source
2Base Technologies,"Kochi, Kerala, India",Markets list includes US,Marketing & Growth Lead,7,medium,medium,LinkedIn
A leading aviation and hospitality training organisation - A Client of The Search House,Gurugram,,,7,low,low,Naukri
A1Apps,Remote,,,7,low,low,Naukri
AERTiCKET India,"Kochi, Kerala, India",,Product Marketing Manager,7,medium,medium,LinkedIn
AI CERTs® - India,"Gandhinagar, Gujarat, India",us market,,7,low,low,LinkedIn
AMPM,"Noida, Uttar Pradesh, India",,,14,low,low,LinkedIn
Aaira India,Hisar,,,14,low,low,Naukri
Acce Global Group,Kolkata,,,7,low,low,Naukri
Accenture,Gurugram,,,7,low,low,Naukri
Accor,"Agra, Uttar Pradesh, India",,,14,low,low,LinkedIn
Accredian,"Gurugram, Haryana, India",,,7,low,low,LinkedIn
Action Tour Guide,"Mumbai(Andheri East), Mumbai (All Areas)",,,7,low,low,Naukri
Ad-Tech company,Gurugram(Sohna Road),,,7,low,low,Naukri
Adsparx,Gurugram,,Product Marketing Manager,7,medium,medium,Naukri
Agoda,"Pune Division, Maharashtra, India",pipeline,,21,low,low,LinkedIn
Akshaya Patra Foundation,Bengaluru(Yeshwanthpur),,Chief Marketing Officer ( CMO ),7,low,low,Naukri
"Alchemy Cloud, Inc.",Greater Kolkata Area,pipeline,,7,low,low,LinkedIn
Alembic Limited,Mumbai,,,7,low,low,Naukri
Aliens Tattoo,Mumbai,,Chief Marketing Officer,7,low,low,Naukri
Align Technology,Mumbai,,,21,low,low,Naukri
Alive Wellness Clinics,"New Delhi, Delhi, India",,,7,low,low,LinkedIn
Alldigi Tech,Bengaluru,pipeline,,7,low,low,Naukri
Allied Engineering Works Limited,"Delhi, India",,,7,low,low,LinkedIn
Alorica,Bengaluru,,Demand Generation Program Manager,7,low,low,Naukri
AlphaSense,Remote - United States,united states,"Senior Product Marketing Manager, API, Security & Infrastructure",63,medium,medium,Greenhouse
Amazon,"Bengaluru, Karnataka, India",,,63,low,low,LinkedIn
Amiya Commerce &amp; Construction Co,Kolkata,,,7,low,low,Naukri
Androgynous Hr Consultant,Bengaluru(Indira Nagar),,,7,low,low,Naukri
Angel One,"Delhi, India",,,7,low,low,LinkedIn
