company_name,location,objective_signal,title_match,open_roles,priority,fit,source
2Base Technologies,"Kochi, Kerala, India",Markets list includes US,Marketing & Growth Lead,8,medium,medium,LinkedIn
A leading aviation and hospitality training organisation - A Client of The Search House,Gurugram,,,8,low,low,Naukri
A1Apps,Remote,,,8,low,low,Naukri
AERTiCKET India,"Kochi, Kerala, India",,Product Marketing Manager,8,low,low,LinkedIn
AI CERTs® - India,"Gandhinagar, Gujarat, India",us market,,8,medium,medium,LinkedIn
AMPM,"Noida, Uttar Pradesh, India",,,16,low,low,LinkedIn
Aaira India,Hisar,,,16,low,low,Naukri
Acce Global Group,Kolkata,,,8,low,low,Naukri
Accenture,Gurugram,,,8,low,low,Naukri
Accor,"Agra, Uttar Pradesh, India",,,16,low,low,LinkedIn
Accredian,"Gurugram, Haryana, India",,,8,low,low,LinkedIn
Action Tour Guide,"Mumbai(Andheri East), Mumbai (All Areas)",,,8,low,low,Naukri
Ad-Tech company,Gurugram(Sohna Road),,,8,low,low,Naukri
Adsparx,Gurugram,,Product Marketing Manager,8,low,low,Naukri
Agoda,"Pune Division, Maharashtra, India",pipeline,,24,low,low,LinkedIn
Akshaya Patra Foundation,Bengaluru(Yeshwanthpur),,Chief Marketing Officer ( CMO ),8,low,low,Naukri
"Alchemy Cloud, Inc.",Greater Kolkata Area,pipeline,,8,low,low,LinkedIn
Alembic Limited,Mumbai,,,8,low,low,Naukri
Aliens Tattoo,Mumbai,,Chief Marketing Officer,8,low,low,Naukri
Align Technology,Mumbai,,,24,low,low,Naukri
Alive Wellness Clinics,"New Delhi, Delhi, India",,,8,low,low,LinkedIn
Alldigi Tech,Bengaluru,pipeline,,8,low,low,Naukri
Allied Engineering Works Limited,"Delhi, India",,,8,low,low,LinkedIn
Alorica,Bengaluru,,Demand Generation Program Manager,8,low,low,Naukri
AlphaSense,Remote - United States,united states,"Senior Product Marketing Manager, API, Security & Infrastructure",72,low,low,Greenhouse
Amazon,"Bengaluru, Karnataka, India",,,72,low,low,LinkedIn
Amiya Commerce &amp; Construction Co,Kolkata,,,8,low,low,Naukri
Androgynous Hr Consultant,Bengaluru(Indira Nagar),,,8,low,low,Naukri
Angel One,"Delhi, India",,,8,low,low,LinkedIn
Anjion learning,Remote,,,16,low,low,Indeed
Antier Solutions,Mohali,,,8,low,low,Naukri
AppSquadz,"Noida, Uttar Pradesh, India",,,8,low,low,LinkedIn
Apple,"Mumbai, Maharashtra, India",,,8,low,low,LinkedIn
Applied Intuition,"Sunnyvale, California, United States",united states,,24,low,low,Greenhouse
Apponix Technologies,Bengaluru(Rajaji Nagar),,,8,low,low,Naukri
Aretto,Pune,,Chief Marketing Officer,8,low,low,Naukri
Asahi India Glass Limited (AIS),Greater Delhi Area,,,8,low,low,LinkedIn
Ashiana Housing Limited,"Delhi, India",,Head of Marketing,8,medium,medium,LinkedIn
Astro Arun Pandit,Noida,,,8,low,low,Naukri
Atlys,"Delhi, Delhi",,Head of Marketing,16,medium,medium,Indeed
Attarix Talent Solutions Mumbai,"Thane, Navi Mumbai, Mumbai (All Areas)(Vashi)",,,8,low,low,Naukri
Attarix talent solutions,"Thane, Navi Mumbai, Mumbai (All Areas)(Vashi)",,,8,low,low,Naukri
Attero Recycling,Bengaluru,,Product Marketing Manager,8,low,low,Naukri
Auric Ai Labs,Bengaluru,go to market,Product Marketing Manager,8,low,low,Naukri
Aurigo Software Technologies,"Bengaluru, Karnataka, India",North America market/customers,Director of Product Marketing,8,medium,medium,LinkedIn
Authentica,"Pune Division, Maharashtra, India",pipeline,Head of Growth Marketing,8,low,low,LinkedIn
Aveksha Hospital,Bengaluru,,,8,low,low,Naukri
Axis Concept Construction,Bengaluru(JP Nagar),,,8,low,low,Naukri
B Anu Events,Remote,,,8,low,low,Indeed
B K Arogyam,"Varanasi, Bengaluru",,,8,low,low,Naukri
BDO India,Mumbai Metropolitan Region,pipeline,,8,low,low,LinkedIn
