id,site,title,companyName,location,jobUrl,datePosted,jobType,isRemote,minAmount,maxAmount,currency,interval,description
nk-230526007779,naukri,Marketing Head,People Mint Hr Consulting,Kolkata,https://www.naukri.com/job-listings-marketing-head-people-mint-hr-consulting-kolkata-5-to-6-years-230526007779,2026-05-23,5-6 Yrs,false,,,,,Responsibilities:Lead brand strategy & execution globallyManage international market ex...
nk-250526003304,naukri,Marketing Head,O2 Spa,Hyderabad,https://www.naukri.com/job-listings-marketing-head-o2-spa-hyderabad-12-to-20-years-250526003304,2026-05-25,12-20 Yrs,false,,,,,Location:Hyderabad / Ridhira Hospitality Projects. Industry Preference:Luxury Hospitali...
nk-230526006548,naukri,Marketing Head,Androgynous Hr Consultant,Bengaluru(Indira Nagar),https://www.naukri.com/job-listings-marketing-head-androgynous-hr-consultant-bengaluru-10-to-20-years-230526006548,2026-05-23,10-20 Yrs,false,,,,,Head of MarketingLocation: Bengaluru Reporting To: Founder & CEO / COOExperience: 10+...
nk-130526011844,naukri,Head- Marketing,Axis Concept Construction,Bengaluru(JP Nagar),https://www.naukri.com/job-listings-head-marketing-axis-concept-construction-bengaluru-7-to-9-years-130526011844,2026-05-18,7-9 Yrs,false,,,,,Real estate / large consumer ecosystem experience preferred Experience
nk-170426029614,naukri,Head Marketing-Trainig Institutes Hospitality(Pan India Franchises),A leading aviation and hospitality training organisation - A Client of The Search House,Gurugram,https://www.naukri.com/job-listings-head-marketing-trainig-institutes-hospitality-pan-india-franchises-the-search-house-gurugram-13-to-20-years-170426029614,2026-05-18,13-20 Yrs,false,,,,,"Experience in managing Performance Campaigns - CPC, CPL, and more via Google, Facebook..."
nk-210526015554,naukri,Marketing Head,Narsingh Ispat,Kolkata,https://www.naukri.com/job-listings-marketing-head-narsingh-ispat-kolkata-8-to-13-years-210526015554,2026-05-21,8-13 Yrs,false,,,,,* Candidate with experience in TMT bar sales and regional market development. . * Stron...
nk-200526024147,naukri,Head- Consumer Marketing,Pathkind Labs,Hybrid - Gurugram,https://www.naukri.com/job-listings-head-consumer-marketing-pathkind-labs-gurugram-10-to-12-years-200526024147,2026-05-20,10-12 Yrs,false,,,,,"This isn't a ""manage the marketing calendar"" job. Pathkind Labs is at a real inflectio..."
nk-230526004773,naukri,Marketing Head,Maruthamalai Balakumaran Jewellers Llp,Hosur(Hosur Bagalur Road),https://www.naukri.com/job-listings-marketing-head-maruthamalai-balakumaran-jewellers-llp-hosur-2-to-4-years-230526004773,2026-05-23,2-4 Yrs,false,,,,,Responsibilities:Collaborate with sales team on campaigns & promotionsDevelop & execute...
nk-180526011762,naukri,Head - Marketing,Sitaram Spinners,Hyderabad,https://www.naukri.com/job-listings-head-marketing-sitaram-spinners-hyderabad-15-to-20-years-180526011762,2026-05-18,15-20 Yrs,false,,,,,"Institute regular performance analysis protocols, utilizing data-driven insights to opt..."
nk-150526007116,naukri,Walk-in || Marketing Head,Madhuraj Hospital,,https://www.naukri.com/job-listings-marketing-head-madhuraj-hospital-kanpur-8-to-10-years-150526007116,2026-05-18,,false,,,,,Preferred candidate profile . MBA in Marketing / Healthcare Management preferredStrong ...
