company_name,location,objective_signal,title_match,open_roles,priority,fit,source
2Base Technologies,"Kochi, Kerala, India",Markets list includes US,Marketing & Growth Lead,10,medium,medium,LinkedIn
A leading aviation and hospitality training organisation - A Client of The Search House,Gurugram,,,10,low,low,Naukri
A1Apps,Remote,,,10,low,low,Naukri
AERTiCKET India,"Kochi, Kerala, India",,Product Marketing Manager,10,low,low,LinkedIn
AI CERTs® - India,"Gandhinagar, Gujarat, India",us market,,10,medium,medium,LinkedIn
AMPM,"Noida, Uttar Pradesh, India",,,20,low,low,LinkedIn
Aaira India,Hisar,,,20,low,low,Naukri
Acce Global Group,Kolkata,,,10,low,low,Naukri
Accenture,Gurugram,,,10,low,low,Naukri
Accor,"Agra, Uttar Pradesh, India",,,20,low,low,LinkedIn
Accredian,"Gurugram, Haryana, India",,,10,low,low,LinkedIn
Action Tour Guide,"Mumbai(Andheri East), Mumbai (All Areas)",,,10,low,low,Naukri
Ad-Tech company,Gurugram(Sohna Road),,,10,low,low,Naukri
Adsparx,Gurugram,,Product Marketing Manager,10,low,low,Naukri
Agoda,"Pune Division, Maharashtra, India",pipeline,,30,low,low,LinkedIn
Akshaya Patra Foundation,Bengaluru(Yeshwanthpur),,Chief Marketing Officer ( CMO ),10,low,low,Naukri
"Alchemy Cloud, Inc.",Greater Kolkata Area,pipeline,,10,low,low,LinkedIn
Alembic Limited,Mumbai,,,10,low,low,Naukri
Aliens Tattoo,Mumbai,,Chief Marketing Officer,10,low,low,Naukri
Align Technology,Mumbai,,,30,low,low,Naukri
Alive Wellness Clinics,"New Delhi, Delhi, India",,,10,low,low,LinkedIn
Alldigi Tech,Bengaluru,pipeline,,10,low,low,Naukri
Allied Engineering Works Limited,"Delhi, India",,,10,low,low,LinkedIn
Alorica,Bengaluru,,Demand Generation Program Manager,10,low,low,Naukri
AlphaSense,Remote - United States,united states,"Senior Product Marketing Manager, API, Security & Infrastructure",90,low,low,Greenhouse
Amazon,"Bengaluru, Karnataka, India",,,90,low,low,LinkedIn
Amiya Commerce &amp; Construction Co,Kolkata,,,10,low,low,Naukri
Androgynous Hr Consultant,Bengaluru(Indira Nagar),,,10,low,low,Naukri
Angel One,"Delhi, India",,,10,low,low,LinkedIn
Anjion learning,Remote,,,20,low,low,Indeed
Antier Solutions,Mohali,,,10,low,low,Naukri
AppSquadz,"Noida, Uttar Pradesh, India",,,10,low,low,LinkedIn
Apple,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
Applied Intuition,"Sunnyvale, California, United States",united states,,30,low,low,Greenhouse
Apponix Technologies,Bengaluru(Rajaji Nagar),,,10,low,low,Naukri
Aretto,Pune,,Chief Marketing Officer,10,low,low,Naukri
Asahi India Glass Limited (AIS),Greater Delhi Area,,,10,low,low,LinkedIn
Ashiana Housing Limited,"Delhi, India",,Head of Marketing,10,medium,medium,LinkedIn
Astro Arun Pandit,Noida,,,10,low,low,Naukri
Atlys,"Delhi, Delhi",,Head of Marketing,20,medium,medium,Indeed
Attarix Talent Solutions Mumbai,"Thane, Navi Mumbai, Mumbai (All Areas)(Vashi)",,,10,low,low,Naukri
Attarix talent solutions,"Thane, Navi Mumbai, Mumbai (All Areas)(Vashi)",,,10,low,low,Naukri
Attero Recycling,Bengaluru,,Product Marketing Manager,10,low,low,Naukri
Auric Ai Labs,Bengaluru,go to market,Product Marketing Manager,10,low,low,Naukri
Aurigo Software Technologies,"Bengaluru, Karnataka, India",North America market/customers,Director of Product Marketing,10,medium,medium,LinkedIn
Authentica,"Pune Division, Maharashtra, India",pipeline,Head of Growth Marketing,10,low,low,LinkedIn
Aveksha Hospital,Bengaluru,,,10,low,low,Naukri
Axis Concept Construction,Bengaluru(JP Nagar),,,10,low,low,Naukri
B Anu Events,Remote,,,10,low,low,Indeed
B K Arogyam,"Varanasi, Bengaluru",,,10,low,low,Naukri
BDO India,Mumbai Metropolitan Region,pipeline,,10,low,low,LinkedIn
BMC Software,"Pune, Maharashtra",,,10,low,low,Indeed
Bean Hr Consulting,Jaipur,,,10,low,low,Naukri
Beekay Steel Industries,Visakhapatnam,,VP Marketing / GM - Marketing,10,low,low,Naukri
Bharat Aluminium Company Limited,"Mumbai, Maharashtra, India",,"Deputy Chief Marketing Officer - Rolled Products , BALCO",10,low,low,LinkedIn
Bio-Rad Laboratories,"Gurgaon, Haryana, India",go to market,,10,low,low,LinkedIn
Birla Pivot,"Karnataka, India",,,10,low,low,LinkedIn
Bombay Coated And Special Steels,Mumbai,,,10,low,low,Naukri
Brainstorm Force IT Pune,Remote,,,10,low,low,Indeed
Brown-Forman,"Gurgaon, Haryana, India",pipeline,,10,low,low,LinkedIn
ByteDance,Gurugram,,,10,low,low,Naukri
CAREERMAR6,Faridabad,,VP / Sr. VP Marketing @ Faridabad,10,low,low,Naukri
CIEL HR,Tirunelveli,,,10,low,low,Naukri
Carbolink India,Hyderabad(Sanath Nagar),pipeline,,10,low,low,Naukri
Career Stone Consultant,"Rajkot, Gujarat, India",,Chief Marketing Officer,10,low,low,LinkedIn
Careers at Tide,"India, Delhi NCR",,,20,low,low,Greenhouse
Certified IT Recruiter - CIR,Hybrid - Pune,,Chief Marketing Officer (CMO) &amp; Co-Founder,10,low,low,Naukri
Chara Automation,"Pune, Bengaluru, Delhi / NCR",,,10,low,low,Naukri
Cialfo,"Delhi, India",pipeline,"Head of Marketing, Explore",20,medium,medium,Indeed + LinkedIn
Client for Hungry Bird IT Consulting Services Pvt Ltd -  for Real Estate Industry,Hyderabad,,,10,low,low,Naukri
Cloud Counselage,Mumbai,,,10,low,low,Naukri
Compass Consult,Vadodara(Alkapuri),,,10,low,low,Naukri
Comviva,"Gurugram, Haryana, India",Global campaigns incl. US,Demand Generation - Manager,10,medium,medium,LinkedIn
Confidential Startup,Gurugram,,Head of Growth,10,low,low,Naukri
Conga,India - Bangalore,pipeline,,10,low,low,Greenhouse
Consolidated,"Kochi, Mumbai, Chennai, Coimbatore, Bengaluru",,,10,low,low,Naukri
Coram AI,"Bengaluru, Karnataka, India",us market,,10,medium,medium,LinkedIn
Crescent Construction,Mumbai(Andheri),,,10,low,low,Naukri
"Crunchyroll, LLC","Mumbai, Maharashtra, India",,,20,low,low,Greenhouse
Cvent,"Gurugram, Haryana, India",pipeline,,10,low,low,LinkedIn
Cygnus A D Management Consulting Llp,Mumbai,,,10,low,low,Naukri
Danone,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
Dash Ast Technology,Hyderabad,pipeline,Product Marketing manager,10,low,low,Naukri
DataNimbus,"Hyderabad, Telangana, India",pipeline,Head of Marketing,20,medium,medium,LinkedIn + Naukri
Dawn Solutions Pvt Ltd,Chennai(Tambaram West),,,10,low,low,Naukri
DeHaat,"Bengaluru, Karnataka, India",,,10,low,low,LinkedIn
Deconstruct,Bengaluru(HSR Layout),,,10,low,low,Naukri
Decorpot,"Bengaluru, Karnataka, India",,Head of Growth Marketing,10,low,low,LinkedIn
Delaplex,"Nagpur, Maharashtra, India",,,10,low,low,LinkedIn
Delhivery,"Bengaluru, Karnataka, India",,,20,low,low,LinkedIn + Naukri
Della Resorts and Adventure,"Mumbai, Maharashtra, India",,,10,low,low,LinkedIn
Deloitte,"Bengaluru, Karnataka, India",,,10,low,low,LinkedIn
Destinationhr,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",,,10,low,low,Naukri
Digitaljacks,Remote,,,10,low,low,Indeed
DishTV,"Noida, Uttar Pradesh, India",,,10,low,low,LinkedIn
Doceree,"Noida, New Delhi",,,10,low,low,Naukri
Double Ticks,Mumbai,,Head of Growth,10,low,low,Naukri
Dr Reddys,Hyderabad,pipeline,,10,low,low,Naukri
Dr. Reddy's Laboratories,"Hyderabad, Telangana, India",pipeline,,20,low,low,LinkedIn
Dreamsdesign,"Hyderabad, Vadodara",,Chief Marketing Officer (CMO),10,low,low,Naukri
