company_name,location,objective_signal,title_match,open_roles,priority,fit,source
2Base Technologies,"Kochi, Kerala, India",Markets list includes US,Marketing & Growth Lead,6,medium,medium,LinkedIn
A leading aviation and hospitality training organisation - A Client of The Search House,Gurugram,,,6,low,low,Naukri
A1Apps,Remote,,,6,low,low,Naukri
AERTiCKET India,"Kochi, Kerala, India",,,6,low,low,LinkedIn
AI CERTs® - India,"Gandhinagar, Gujarat, India",us market,,6,medium,medium,LinkedIn
AMPM,"Noida, Uttar Pradesh, India",,,12,low,low,LinkedIn
Aaira India,Hisar,,,12,low,low,Naukri
Acce Global Group,Kolkata,,,6,low,low,Naukri
Accenture,Gurugram,,,6,low,low,Naukri
Accor,"Agra, Uttar Pradesh, India",,,12,low,low,LinkedIn
Accredian,"Gurugram, Haryana, India",,,6,low,low,LinkedIn
Action Tour Guide,"Mumbai(Andheri East), Mumbai (All Areas)",,,6,low,low,Naukri
Ad-Tech company,Gurugram(Sohna Road),,,6,low,low,Naukri
Adsparx,Gurugram,,,6,low,low,Naukri
Agoda,"Pune Division, Maharashtra, India",pipeline,,18,medium,medium,LinkedIn
Akshaya Patra Foundation,Bengaluru(Yeshwanthpur),,Chief Marketing Officer ( CMO ),6,low,low,Naukri
"Alchemy Cloud, Inc.",Greater Kolkata Area,pipeline,,6,medium,medium,LinkedIn
Alembic Limited,Mumbai,,,6,low,low,Naukri
Aliens Tattoo,Mumbai,,Chief Marketing Officer,6,low,low,Naukri
Align Technology,Mumbai,,,18,low,low,Naukri
Alive Wellness Clinics,"New Delhi, Delhi, India",,,6,low,low,LinkedIn
Alldigi Tech,Bengaluru,pipeline,,6,medium,medium,Naukri
Allied Engineering Works Limited,"Delhi, India",,,6,low,low,LinkedIn
Alorica,Bengaluru,,Demand Generation Program Manager,6,medium,medium,Naukri
AlphaSense,Remote - United States,united states,,54,medium,medium,Greenhouse
Amazon,"Bengaluru, Karnataka, India",,,54,low,low,LinkedIn
Amiya Commerce &amp; Construction Co,Kolkata,,,6,low,low,Naukri
Androgynous Hr Consultant,Bengaluru(Indira Nagar),,,6,low,low,Naukri
Angel One,"Delhi, India",,,6,low,low,LinkedIn
Anjion learning,Remote,,,12,low,low,Indeed
Antier Solutions,Mohali,,,6,low,low,Naukri
AppSquadz,"Noida, Uttar Pradesh, India",,,6,low,low,LinkedIn
Apple,"Mumbai, Maharashtra, India",,,6,low,low,LinkedIn
Applied Intuition,"Sunnyvale, California, United States",united states,,18,medium,medium,Greenhouse
Apponix Technologies,Bengaluru(Rajaji Nagar),,,6,low,low,Naukri
Aretto,Pune,,Chief Marketing Officer,6,low,low,Naukri
Asahi India Glass Limited (AIS),Greater Delhi Area,,,6,low,low,LinkedIn
Ashiana Housing Limited,"Delhi, India",,Head of Marketing,6,low,low,LinkedIn
Astro Arun Pandit,Noida,,,6,low,low,Naukri
Atlys,"Delhi, Delhi",,Head of Marketing,12,low,low,Indeed
Attarix Talent Solutions Mumbai,"Thane, Navi Mumbai, Mumbai (All Areas)(Vashi)",,,6,low,low,Naukri
Attarix talent solutions,"Thane, Navi Mumbai, Mumbai (All Areas)(Vashi)",,,6,low,low,Naukri
Attero Recycling,Bengaluru,,,6,low,low,Naukri
Auric Ai Labs,Bengaluru,,,6,low,low,Naukri
Aurigo Software Technologies,"Bengaluru, Karnataka, India",North America market/customers,Director of Product Marketing,6,medium,medium,LinkedIn
Authentica,"Pune Division, Maharashtra, India",pipeline,Head of Growth Marketing,6,high,high,LinkedIn
Aveksha Hospital,Bengaluru,,,6,low,low,Naukri
Axis Concept Construction,Bengaluru(JP Nagar),,,6,low,low,Naukri
B Anu Events,Remote,,,6,low,low,Indeed
B K Arogyam,"Varanasi, Bengaluru",,,6,low,low,Naukri
