company_name,location,objective_signal,title_match,open_roles,priority,fit,source
2Base Technologies,"Kochi, Kerala, India",united states,,1,medium,medium,LinkedIn
A leading aviation and hospitality training organisation - A Client of The Search House,Gurugram,,,1,low,low,Naukri
A1Apps,Remote,,,1,low,low,Naukri
AERTiCKET India,"Kochi, Kerala, India",,,1,low,low,LinkedIn
AI CERTs® - India,"Gandhinagar, Gujarat, India",us market,,1,medium,medium,LinkedIn
AMPM,"Noida, Uttar Pradesh, India",,,2,low,low,LinkedIn
Aaira India,Hisar,,,2,low,low,Naukri
Acce Global Group,Kolkata,,,1,low,low,Naukri
Accenture,Gurugram,,,1,low,low,Naukri
Accor,"Agra, Uttar Pradesh, India",,,2,low,low,LinkedIn
Accredian,"Gurugram, Haryana, India",,,1,low,low,LinkedIn
Action Tour Guide,"Mumbai(Andheri East), Mumbai (All Areas)",,,1,low,low,Naukri
Ad-Tech company,Gurugram(Sohna Road),,,1,low,low,Naukri
Adsparx,Gurugram,,,1,low,low,Naukri
Agoda,"Pune Division, Maharashtra, India",,,3,low,low,LinkedIn
Akshaya Patra Foundation,Bengaluru(Yeshwanthpur),,Chief Marketing Officer ( CMO ),1,medium,medium,Naukri
"Alchemy Cloud, Inc.",Greater Kolkata Area,,,1,low,low,LinkedIn
Alembic Limited,Mumbai,,,1,low,low,Naukri
Aliens Tattoo,Mumbai,,,1,low,low,Naukri
Align Technology,Mumbai,,,3,low,low,Naukri
Alive Wellness Clinics,"New Delhi, Delhi, India",,,1,low,low,LinkedIn
Alldigi Tech,Bengaluru,,,1,low,low,Naukri
Allied Engineering Works Limited,"Delhi, India",,,1,low,low,LinkedIn
Alorica,Bengaluru,,,1,low,low,Naukri
AlphaSense,Remote - United States,united states,,9,medium,medium,Greenhouse Alphasense
Amazon,"Bengaluru, Karnataka, India",,,9,low,low,LinkedIn
Amiya Commerce &amp; Construction Co,Kolkata,,,1,low,low,Naukri
Androgynous Hr Consultant,Bengaluru(Indira Nagar),,,1,low,low,Naukri
Angel One,"Delhi, India",,,1,low,low,LinkedIn
Anjion learning,Remote,,,2,low,low,Indeed
Antier Solutions,Mohali,,,1,low,low,Naukri
AppSquadz,"Noida, Uttar Pradesh, India",,,1,low,low,LinkedIn
Apple,"Mumbai, Maharashtra, India",,,1,low,low,LinkedIn
Applied Intuition,"Sunnyvale, California, United States",united states,,3,medium,medium,Greenhouse Appliedintuition
Apponix Technologies,Bengaluru(Rajaji Nagar),,,1,low,low,Naukri
Aretto,Pune,,,1,low,low,Naukri
Asahi India Glass Limited (AIS),Greater Delhi Area,,,1,low,low,LinkedIn
Ashiana Housing Limited,"Delhi, India",,Head of Marketing,1,medium,medium,LinkedIn
Astro Arun Pandit,Noida,,,1,low,low,Naukri
