company_name,location,objective_signal,title_match,open_roles,priority,fit,source
2Base Technologies,"Kochi, Kerala, India",Markets list includes US,Marketing & Growth Lead,3,medium,medium,LinkedIn
A leading aviation and hospitality training organisation - A Client of The Search House,Gurugram,,,3,low,low,Naukri
A1Apps,Remote,,,3,low,low,Naukri
AERTiCKET India,"Kochi, Kerala, India",,,3,low,low,LinkedIn
AI CERTs® - India,"Gandhinagar, Gujarat, India",us market,,3,medium,medium,LinkedIn
AMPM,"Noida, Uttar Pradesh, India",,,6,low,low,LinkedIn
Aaira India,Hisar,,,6,low,low,Naukri
Acce Global Group,Kolkata,,,3,low,low,Naukri
Accenture,Gurugram,,,3,low,low,Naukri
Accor,"Agra, Uttar Pradesh, India",,,6,low,low,LinkedIn
Accredian,"Gurugram, Haryana, India",,,3,low,low,LinkedIn
Action Tour Guide,"Mumbai(Andheri East), Mumbai (All Areas)",,,3,low,low,Naukri
Ad-Tech company,Gurugram(Sohna Road),,,3,low,low,Naukri
Adsparx,Gurugram,,,3,low,low,Naukri
Agoda,"Pune Division, Maharashtra, India",,,9,low,low,LinkedIn
Akshaya Patra Foundation,Bengaluru(Yeshwanthpur),,Chief Marketing Officer ( CMO ),3,medium,medium,Naukri
"Alchemy Cloud, Inc.",Greater Kolkata Area,,,3,low,low,LinkedIn
Alembic Limited,Mumbai,,,3,low,low,Naukri
Aliens Tattoo,Mumbai,,,3,low,low,Naukri
Align Technology,Mumbai,,,9,low,low,Naukri
Alive Wellness Clinics,"New Delhi, Delhi, India",,,3,low,low,LinkedIn
Alldigi Tech,Bengaluru,,,3,low,low,Naukri
Allied Engineering Works Limited,"Delhi, India",,,3,low,low,LinkedIn
Alorica,Bengaluru,,,3,low,low,Naukri
AlphaSense,Remote - United States,united states,,27,low,low,Greenhouse
Amazon,"Bengaluru, Karnataka, India",,,27,low,low,LinkedIn
Amiya Commerce &amp; Construction Co,Kolkata,,,3,low,low,Naukri
Androgynous Hr Consultant,Bengaluru(Indira Nagar),,,3,low,low,Naukri
Angel One,"Delhi, India",,,3,low,low,LinkedIn
Anjion learning,Remote,,,6,low,low,Indeed
Antier Solutions,Mohali,,,3,low,low,Naukri
AppSquadz,"Noida, Uttar Pradesh, India",,,3,low,low,LinkedIn
Apple,"Mumbai, Maharashtra, India",,,3,low,low,LinkedIn
Applied Intuition,"Sunnyvale, California, United States",united states,,9,low,low,Greenhouse
Apponix Technologies,Bengaluru(Rajaji Nagar),,,3,low,low,Naukri
Aretto,Pune,,,3,low,low,Naukri
Asahi India Glass Limited (AIS),Greater Delhi Area,,,3,low,low,LinkedIn
Ashiana Housing Limited,"Delhi, India",,Head of Marketing,3,medium,medium,LinkedIn
Astro Arun Pandit,Noida,,,3,low,low,Naukri
Atlys,"Delhi, Delhi",,Head of Marketing,6,medium,medium,Indeed
Attarix Talent Solutions Mumbai,"Thane, Navi Mumbai, Mumbai (All Areas)(Vashi)",,,3,low,low,Naukri
Attarix talent solutions,"Thane, Navi Mumbai, Mumbai (All Areas)(Vashi)",,,3,low,low,Naukri
Attero Recycling,Bengaluru,,,3,low,low,Naukri
Auric Ai Labs,Bengaluru,,,3,low,low,Naukri
Aurigo Software Technologies,"Bengaluru, Karnataka, India",North America market/customers,Director of Product Marketing,3,medium,medium,LinkedIn
Authentica,"Pune Division, Maharashtra, India",,,3,low,low,LinkedIn
