company_name,location,objective_signal,title_match,open_roles,priority,fit,source
2Base Technologies,"Kochi, Kerala, India",Markets list includes US,Marketing & Growth Lead,5,medium,medium,LinkedIn
A leading aviation and hospitality training organisation - A Client of The Search House,Gurugram,,,5,low,low,Naukri
A1Apps,Remote,,,5,low,low,Naukri
AERTiCKET India,"Kochi, Kerala, India",,,5,low,low,LinkedIn
AI CERTs® - India,"Gandhinagar, Gujarat, India",us market,,5,medium,medium,LinkedIn
AMPM,"Noida, Uttar Pradesh, India",,,10,low,low,LinkedIn
Aaira India,Hisar,,,10,low,low,Naukri
Acce Global Group,Kolkata,,,5,low,low,Naukri
Accenture,Gurugram,,,5,low,low,Naukri
Accor,"Agra, Uttar Pradesh, India",,,10,low,low,LinkedIn
Accredian,"Gurugram, Haryana, India",,,5,low,low,LinkedIn
Action Tour Guide,"Mumbai(Andheri East), Mumbai (All Areas)",,,5,low,low,Naukri
Ad-Tech company,Gurugram(Sohna Road),,,5,low,low,Naukri
Adsparx,Gurugram,,,5,low,low,Naukri
Agoda,"Pune Division, Maharashtra, India",,,15,low,low,LinkedIn
Akshaya Patra Foundation,Bengaluru(Yeshwanthpur),,Chief Marketing Officer ( CMO ),5,medium,medium,Naukri
"Alchemy Cloud, Inc.",Greater Kolkata Area,,,5,low,low,LinkedIn
Alembic Limited,Mumbai,,,5,low,low,Naukri
Aliens Tattoo,Mumbai,,Chief Marketing Officer,5,medium,medium,Naukri
Align Technology,Mumbai,,,15,low,low,Naukri
Alive Wellness Clinics,"New Delhi, Delhi, India",,,5,low,low,LinkedIn
Alldigi Tech,Bengaluru,,,5,low,low,Naukri
Allied Engineering Works Limited,"Delhi, India",,,5,low,low,LinkedIn
Alorica,Bengaluru,,,5,low,low,Naukri
AlphaSense,Remote - United States,united states,,45,low,low,Greenhouse
Amazon,"Bengaluru, Karnataka, India",,,45,low,low,LinkedIn
Amiya Commerce &amp; Construction Co,Kolkata,,,5,low,low,Naukri
Androgynous Hr Consultant,Bengaluru(Indira Nagar),,,5,low,low,Naukri
Angel One,"Delhi, India",,,5,low,low,LinkedIn
