id,site,title,companyName,location,jobUrl,datePosted,jobType,isRemote,minAmount,maxAmount,currency,interval,description
wd-thoughtspot-/job/India---Bangalore/Principal-Product-Marketing-Manager_JR2029,workday:thoughtspot:5:careers,Principal Product Marketing Manager,thoughtspot,India - Bangalore,https://thoughtspot.wd5.myworkdayjobs.com/job/India---Bangalore/Principal-Product-Marketing-Manager_JR2029,2026-05-19,,false,,,,,
wd-thoughtspot-/job/India---Bangalore/Senior-Product-Marketing-Manager_JR2103,workday:thoughtspot:5:careers,Senior Product Marketing Manager,thoughtspot,India - Bangalore,https://thoughtspot.wd5.myworkdayjobs.com/job/India---Bangalore/Senior-Product-Marketing-Manager_JR2103,2026-05-19,,false,,,,,
wd-thoughtspot-/job/India---Bangalore/Senior-Product-Marketing-Manager_JR2105,workday:thoughtspot:5:careers,Senior Product Marketing Manager,thoughtspot,India - Bangalore,https://thoughtspot.wd5.myworkdayjobs.com/job/India---Bangalore/Senior-Product-Marketing-Manager_JR2105,2026-05-19,,false,,,,,
wd-fmc-/job/Mumbai-India/Area-Marketing-Manager-Ahilyanagar--Agriculture-background-only-_R-1889,workday:fmc:12:FMC,Area Marketing Manager-Ahilyanagar (Agriculture background only),fmc,"Mumbai, India",https://fmc.wd12.myworkdayjobs.com/job/Mumbai-India/Area-Marketing-Manager-Ahilyanagar--Agriculture-background-only-_R-1889,2026-05-22,,false,,,,,
wd-fmc-/job/Mumbai-India/Area-Marketing-Manager--Sangli-_R-1799-1,workday:fmc:12:FMC,Area Marketing Manager (Sangli),fmc,"Mumbai, India",https://fmc.wd12.myworkdayjobs.com/job/Mumbai-India/Area-Marketing-Manager--Sangli-_R-1799-1,2026-05-04,,false,,,,,
wd-fmc-/job/Mumbai-India/Brand-Manager---Rice-Herbicides_R-1716,workday:fmc:12:FMC,Brand Manager - Rice Herbicides,fmc,"Mumbai, India",https://fmc.wd12.myworkdayjobs.com/job/Mumbai-India/Brand-Manager---Rice-Herbicides_R-1716,2026-04-28,,false,,,,,
wd-cochlear-/job/Mumbai-India/Digital-Marketing-Manager_R-623319,workday:cochlear:3:Cochlear_Careers,Digital Marketing Manager,cochlear,"Mumbai, India",https://cochlear.wd3.myworkdayjobs.com/job/Mumbai-India/Digital-Marketing-Manager_R-623319,2026-04-25,,false,,,,,
wd-bf-/job/India-Gurgaon/Regional-Trade-Marketing-Manager--North--East-and-Int-Mkts_JR-00010008-1,workday:bf:5:International,Regional Trade Marketing Manager- North/ East and Int Mkts,bf,"India, Gurgaon",https://bf.wd5.myworkdayjobs.com/job/India-Gurgaon/Regional-Trade-Marketing-Manager--North--East-and-Int-Mkts_JR-00010008-1,2026-05-15,,false,,,,,
wd-bf-/job/India-Haryana/National-Trade-Marketing-Manager---India-Area_JR-00009827-1,workday:bf:5:International,Head of Trade Marketing - India Area,bf,"India, Haryana",https://bf.wd5.myworkdayjobs.com/job/India-Haryana/National-Trade-Marketing-Manager---India-Area_JR-00009827-1,2026-05-12,,false,,,,,
wd-bf-/job/India--Bangalore/Regional-Trade-Marketing-Manager--South_JR-00009948-1,workday:bf:5:International,Regional Trade Marketing Manager- South,bf,India | Bangalore,https://bf.wd5.myworkdayjobs.com/job/India--Bangalore/Regional-Trade-Marketing-Manager--South_JR-00009948-1,2026-05-05,,false,,,,,
wd-clarivate-/job/India---Bangalore/Marketing-Operations-Manager---Webinar-Hosting---Execution_JREQ135467,workday:clarivate:3:jobs,Marketing Operations Manager - Webinar Hosting & Execution,clarivate,India - Bangalore,https://clarivate.wd3.myworkdayjobs.com/job/India---Bangalore/Marketing-Operations-Manager---Webinar-Hosting---Execution_JREQ135467,2026-05-07,,false,,,,,
