company_name,location,objective_signal,title_match,open_roles,priority,fit,source
2070 Health,,,,1,low,low,Built In
A.Team,"Americas, Europe, Israel",,,2,low,low,Remotive
AGL - Hakuhodo,"Gurgaon, Haryana, India",,,1,low,low,LinkedIn
AI CERTs® - India,"Gandhinagar, Gujarat, India",us market,,11,medium,medium,LinkedIn
AIONOS,"Gurugram, Haryana, India",,,1,low,low,LinkedIn
Accor,"Udaipur, Rajasthan, India",,,22,low,low,Built In + LinkedIn
Accredian,"Gurugram, Haryana, India",,,11,low,low,LinkedIn
Agoda,"Pune Division, Maharashtra, India",pipeline,,33,low,low,LinkedIn
Alabama Solutions,Uruguay,,,1,low,low,Himalayas
"Alchemy Cloud, Inc.",Greater Kolkata Area,pipeline,,11,low,low,LinkedIn
Allied Engineering Works Limited,"Delhi, India",,,11,low,low,LinkedIn
Almased Wellness GmbH,Hamburg,,Head of Marketing (m/w/d),1,medium,medium,Arbeitnow
American Express Global Business Travel,"Gurugram, Haryana, India",,,1,low,low,LinkedIn
AppSquadz,"Noida, Uttar Pradesh, India",,,11,low,low,LinkedIn
Aramya,"Gurugram, Haryana, India",,Head of Marketing,1,medium,medium,LinkedIn
Ashiana Housing Limited,"Delhi, India",,Head of Marketing,11,medium,medium,LinkedIn
Asia Therme Wellness Spa GmbH,Korschenbroich,,,1,low,low,Arbeitnow
Atlys,"Delhi, India",,Head of Marketing,21,low,low,LinkedIn
Aurigo Software Technologies,"Bengaluru, Karnataka, India",North America market/customers,Director of Product Marketing,11,medium,medium,LinkedIn
BDO India,Mumbai Metropolitan Region,pipeline,,11,low,low,LinkedIn
BLAST (blast.tv),,,Head of Marketing: JioBlast,1,medium,medium,Built In
Bharat Aluminium Company Limited,"Mumbai, Maharashtra, India",,"Deputy Chief Marketing Officer - Rolled Products , BALCO",11,low,low,LinkedIn
Bharat Managed Services,"Bengaluru, Karnataka, India",,,1,low,low,LinkedIn
BokettoTravels,"New Delhi, Delhi, India",,Head of Marketing,1,medium,medium,LinkedIn
CW Hospitality LLP,"Bengaluru, Karnataka, India",,,1,low,low,LinkedIn
CapsLock,Spain,,,2,low,low,Himalayas
Career Stone Consultant,"Rajkot, Gujarat, India",,Chief Marketing Officer,11,low,low,LinkedIn
Caul Group,LATAM,,,1,low,low,Remotive
Cialfo,"Delhi, India",pipeline,"Head of Marketing, Explore",22,medium,medium,LinkedIn
Citi,"Pune Division, Maharashtra, India",,,2,low,low,LinkedIn
Clear Channel Outdoor,,,,1,low,low,Built In
Coalition Technologies,Worldwide,,,2,low,low,Remotive
CoinDCX,"Bengaluru, Karnataka, India",,,1,low,low,LinkedIn
Cority,Canada,,,1,low,low,Himalayas
"Coupa Software, Inc.",United States,,,1,low,low,Himalayas
"Credit Wellness, LLC",Worldwide,,,1,low,low,Remotive
Cutshort,"Bengaluru, Karnataka, India",,,1,low,low,LinkedIn
Cvent,"Gurugram, Haryana, India",pipeline,,11,low,low,LinkedIn
DMI,United States,,,1,low,low,Himalayas
Design Brewery,India,,,2,low,low,LinkedIn
Dr. Reddy’s Laboratories,,,,1,low,low,Built In
Dudhi Industries Private Limited,,,,1,low,low,Built In
EY,"Bengaluru, Karnataka, India",,,1,low,low,LinkedIn
Elevation Capital,"Bengaluru, Karnataka, India",,,1,low,low,LinkedIn
Eloelo,"Bengaluru, Karnataka, India",,,1,low,low,LinkedIn
Elucidata,"Bengaluru, Karnataka, India",,Director of Product Marketing,11,low,low,LinkedIn
Emeritus,"Bengaluru, Karnataka, India",united states,,11,low,low,LinkedIn
Endress+Hauser Group,"Aurangabad, Maharashtra, India",,Head of Marketing - India & South East Asia,11,medium,medium,LinkedIn
EverAI,Worldwide,,,1,low,low,Remotive
Everise,,,Head of Marketing,1,medium,medium,Built In
Expion Health,USA,,,1,low,low,Remotive
Explore,"Delhi, Delhi, India",pipeline,"Head of Marketing, Explore",11,medium,medium,LinkedIn
Fareportal,"Gurugram, Haryana, India",,,11,low,low,LinkedIn
Finmo,Mysuru,,,11,low,low,Built In
Flexing It®,India,,,1,low,low,LinkedIn
Floowi,United States,,,1,low,low,Himalayas
Forbes Advisor,Mumbai Metropolitan Region,,,2,low,low,Built In + LinkedIn
Fresenius Medical Care,,,,1,low,low,Built In
GITAM Deemed University,"Visakhapatnam, Andhra Pradesh, India",,Head of Marketing,1,medium,medium,LinkedIn
Gansons,Mumbai Metropolitan Region,,,21,low,low,LinkedIn
GetMyCourse,India,,Head of Marketing (Digital Courses & CPD) - WFH(INDIA),11,medium,medium,LinkedIn
Glanbia,"Gurgaon, Haryana, India",,,11,low,low,LinkedIn
Hamilton Housewares (Milton),"Mumbai, Maharashtra, India",,,1,low,low,LinkedIn
Havas Creative Network India,"Gurgaon, Haryana, India",,,1,low,low,LinkedIn
HighLevel,,,,1,low,low,Built In
Hilton,Mumbai Metropolitan Region,,,21,low,low,LinkedIn
Howell Protection Systems India Pvt. Ltd.,"New Delhi, Delhi, India",pipeline,Head of Marketing,11,medium,medium,LinkedIn
Huzzle,United States,,,1,low,low,Himalayas
Hyatt Centric,"Bengaluru, Karnataka, India",,,1,low,low,LinkedIn
IAPWE,Worldwide,,,1,low,low,Remotive
IPG Mediabrands,,,,1,low,low,Built In
InsuranceManager.com,"Mumbai, Maharashtra, India",,,1,low,low,LinkedIn
Intellect Design Arena Ltd,"Mumbai, Maharashtra, India",,,1,low,low,LinkedIn
Interrupt Labs,United States,,,1,low,low,Himalayas
Intetics,Ukraine,,,1,low,low,Himalayas
Jellyfish,Mumbai Metropolitan Region,,,1,low,low,LinkedIn
JioStar,Mumbai Metropolitan Region,,,1,low,low,LinkedIn
Kaplan,United States,,,1,low,low,Himalayas
Katapult,"Mumbai, Maharashtra, India",,,1,low,low,LinkedIn
Kyndryl,,,,1,low,low,Built In
LPL Financial Global Capability Center,Greater Hyderabad Area,,,1,low,low,LinkedIn
Labcorp,"Navi Mumbai, Maharashtra, India",,,3,low,low,Built In + LinkedIn
Laborde Earles,Argentina,,,1,low,low,Himalayas
LawnStarter,Brazil,,,5,low,low,Remotive
Leadeffect,Germany,,,1,low,low,Himalayas
Lemon.io,"Americas, Europe, Asia, Oceania",,,2,low,low,Remotive
Licious,"Bengaluru, Karnataka, India",,,11,low,low,LinkedIn
Lonza,"Haryana, India",united states,,23,low,low,Built In + LinkedIn
Lucid Reality Labs,,,,1,low,low,Himalayas
LucidLink,Bulgaria,,,1,low,low,Himalayas
Lytegen,"Chandigarh, Chandigarh, India",US market(s),Director - Marketing (US Market - Night Shift),49,medium,medium,Built In + LinkedIn
M3M India Private Limited,"Gurugram, Haryana, India",,,11,low,low,LinkedIn
MADTECH.AI Inc.,"Bengaluru, Karnataka, India",,,1,low,low,LinkedIn
MIRÓR,"Bengaluru, Karnataka, India",,,1,low,low,LinkedIn
MTechZilla,"Pune Division, Maharashtra, India","Build US presence, Targeting US",Marketing Head,11,high,high,LinkedIn
Makunai Global,"Gautam Buddha Nagar, Uttar Pradesh, India",pipeline,,12,low,low,LinkedIn
Manulife,Canada,,,1,low,low,Himalayas
Marriott International,"Delhi, Delhi, India",,,3,low,low,Built In + LinkedIn
McKesson,United States,,,1,low,low,Himalayas
Medica Group,Australia,,,1,low,low,Himalayas
Miduty,"Gurugram, Haryana, India",,,1,low,low,LinkedIn
Minor International,,,,1,low,low,Built In
Mitre Media,"USA, Canada, USA timezones",,,1,low,low,Remotive
MonetizeMore,Philippines,,,1,low,low,Himalayas
Munters,,,Head of Marketing APAC,1,medium,medium,Built In
Namah Softech Private Limited (Odoo Silver Partner),"Vadodara, Gujarat, India",,,1,low,low,LinkedIn
Nestasia,"Kolkata, West Bengal, India",,,11,low,low,LinkedIn
Nextenti Tech Private Limited,"Maharashtra, India",,,1,low,low,LinkedIn
Noventra Group Europe,Worldwide,,,1,low,low,Remotive
Optum,Gurugram,"US healthcare market, US stakeholders/teams",Senior Manager - B2B Product Marketing,22,medium,medium,Built In
Optum India,"Gurgaon, Haryana, India",,,1,low,low,LinkedIn
Oteemo Inc.,,,,1,low,low,Built In
PD Consulting,India,,,1,low,low,LinkedIn
PHC Partners,"Gurugram, Haryana, India",,Head of Marketing,11,medium,medium,LinkedIn
PMPG,Germany,,,1,low,low,Himalayas
Packt,India,,,1,low,low,Himalayas
Pepper,"Mumbai, Maharashtra, India",US market(s),Head of Demand Generation (US Market),15,medium,medium,LinkedIn
Perfect People Search,,,Head of Marketing,1,medium,medium,Built In
Performics India,"Gurugram, Haryana, India",,,1,low,low,LinkedIn
Pluxee,"Mumbai, Maharashtra, India",,,1,low,low,LinkedIn
Pollen,"Mumbai, Maharashtra, India",,,1,low,low,LinkedIn
Prana Xenotransplants,"Hyderabad, Telangana, India",,,1,low,low,LinkedIn
Promaynov Advisory Services Pvt. Ltd,"Bawana, Delhi, India",,,1,low,low,LinkedIn
Publicis Groupe,"Gurugram, Haryana, India",,,11,low,low,LinkedIn
QpiAI,"Bangalore Urban, Karnataka, India",,,11,low,low,LinkedIn
"Queen Elizabeth’s School, Gurugram","Gurugram, Haryana, India",us market,Head of Marketing,11,high,high,LinkedIn
QuillBot,India,united states,,22,low,low,LinkedIn
Raffles Udaipur,"Udaipur, Rajasthan, India",,,11,low,low,LinkedIn
Raksha Elite Solutions (Raksha Prime),"Bengaluru, Karnataka, India",,,11,low,low,LinkedIn
Randstad India,"Bengaluru, Karnataka, India",,Head of Marketing Real Estate,1,medium,medium,LinkedIn
Ridhira Group - Building World's largest Wellness Communities,"Hyderabad, Telangana, India",,Head of Marketing,11,medium,medium,LinkedIn
Right Advisors Private Limited,"Gurugram, Haryana, India",,,1,low,low,LinkedIn
Roundglass Foundation,"Mohali district, India",,Head of Marketing,1,medium,medium,LinkedIn
S-VYASA Deemed-to-be University Thiruvananthapuram,"Thiruvananthapuram, Kerala, India",,,1,low,low,LinkedIn
SERVIER MONDE,United States,,,1,low,low,Himalayas
"SRINIVASA SALES & SERVICE PVT LTD.,","Hyderabad, Telangana, India",go to market,Head of Growth,11,low,low,LinkedIn
SS Consulting Kochi,"Kerala, India",,,11,low,low,LinkedIn
SUN PHARMA,Mumbai Metropolitan Region,,,21,low,low,LinkedIn
Scientific Research Corporation,United States,,,1,low,low,Himalayas
Scimplify,,,,1,low,low,Built In
Sephora,United States,,,1,low,low,Himalayas
Sinch,Philippines,,,1,low,low,Himalayas
Social Synthesis,"Delhi, India",,,1,low,low,LinkedIn
Sony,United States,,,1,low,low,Himalayas
SourcingXPress,"Mumbai, Maharashtra, India","US market focus, US market(s)",Chief Marketing Officer,11,high,high,LinkedIn
Standard Chartered India,"Bengaluru East, Karnataka, India",,,2,low,low,LinkedIn
Stanley Black & Decker,Serbia,,,1,low,low,Himalayas
StoneX Global,"Delhi, India",,,11,low,low,LinkedIn
Straumann Group,Mumbai Metropolitan Region,,,11,low,low,LinkedIn
Syneos Health India Private Limited,Chile,,,1,low,low,Himalayas
Talent Corner HR Services Pvt Ltd,"Mumbai, Maharashtra, India",,,1,low,low,LinkedIn
Talent Sam,Australia,,,1,low,low,Himalayas
Talentiser,"Mumbai, Maharashtra, India",,,21,low,low,LinkedIn
Tata Electronics,"Bengaluru, Karnataka, India",,,11,low,low,LinkedIn
Teamified,,,,1,low,low,Built In
TestHiring,"Noida, Uttar Pradesh, India",,,1,low,low,LinkedIn
The Management Recruitment Group (MRG),"Ahmedabad, Gujarat, India",,Head of Marketing - Luxury,11,medium,medium,LinkedIn
The Westin Gurgaon New Delhi,"Gurugram, Haryana, India",,,11,low,low,LinkedIn
Thermo Fisher Scientific,"Bengaluru East, Karnataka, India",,,2,low,low,Built In + LinkedIn
Unifonic,Australia,,,1,low,low,Himalayas
Unosecur,"Bengaluru, Karnataka, India","Across India/US/EU markets, Markets list includes US",Head of Marketing,11,medium,medium,LinkedIn
Urban Company,"Gurugram, Haryana, India",,,11,low,low,LinkedIn
Valce Talent Solutions,United States,,,1,low,low,Himalayas
Ventrata,Portugal,,,1,low,low,Himalayas
W Hotels,"Panaji, Goa, India",,,11,low,low,LinkedIn
WPP Media,Mumbai Metropolitan Region,,,5,low,low,LinkedIn
"Walt Disney Parks and Resorts U.S., Inc.",France,,,1,low,low,Himalayas
Walz Tetrick Advertising,United States,,,1,low,low,Himalayas
Wayvida,"Thiruvananthapuram, Kerala, India",,Head of Marketing,1,medium,medium,LinkedIn
Weekday AI (YC W21),"Bengaluru, Karnataka, India",,Head Of Marketing,11,medium,medium,LinkedIn
WinnerBrands,"Gurugram, Haryana, India",,,21,low,low,LinkedIn
Wipfli,,,,1,low,low,Built In
Workada,USA,,,1,low,low,Remotive
Writesonic,,,,1,low,low,Built In
Zayo Group,United States,,,1,low,low,Himalayas
Zócalo Health,Canada,,,1,low,low,Himalayas
bioMérieux,"Delhi, Delhi, India",,,1,low,low,LinkedIn
dentsu,,,,1,low,low,Built In
goPro Consultancy Group ltd.,United States,,,1,low,low,Himalayas
iCreative Technologies Inc.,,,,1,low,low,Built In
knk Gruppe,Germany,,,1,low,low,Himalayas
nooro,USA,,,1,low,low,Remotive
solreco GmbH,Austria,,,1,low,low,Himalayas
upGrad,"Bengaluru, Karnataka, India",,,2,low,low,LinkedIn
wewe,India,,,1,low,low,Himalayas
