company_name,location,objective_signal,title_match,open_roles,priority,fit,source
Accor,"Udaipur, Rajasthan, India",,Director of Marketing & Communication,27,medium,medium,LinkedIn
"Alchemy Cloud, Inc.",Greater Kolkata Area,pipeline,Director of Marketing,16,medium,medium,LinkedIn
Aramya,"Gurugram, Haryana, India",,Head of Marketing,6,medium,medium,LinkedIn
Ashiana Housing Limited,"Delhi, India",,Head of Marketing,16,medium,medium,LinkedIn
Bharat Aluminium Company Limited,"Mumbai, Maharashtra, India",,"Deputy Chief Marketing Officer - Rolled Products , BALCO",16,medium,medium,LinkedIn
BokettoTravels,"New Delhi, Delhi, India",,Head of Marketing,6,medium,medium,LinkedIn
CW Hospitality LLP,"Bengaluru, Karnataka, India",,Director of Marketing And Business Development,6,medium,medium,LinkedIn
Career Stone Consultant,"Rajkot, Gujarat, India",,Chief Marketing Officer,16,medium,medium,LinkedIn
Cialfo,"Delhi, India",pipeline,"Head of Marketing, Explore",32,medium,medium,LinkedIn
Endress+Hauser Group,"Aurangabad, Maharashtra, India",,Head of Marketing - India & South East Asia,16,medium,medium,LinkedIn
Explore,"Delhi, Delhi, India",pipeline,"Head of Marketing, Explore",16,medium,medium,LinkedIn
GITAM Deemed University,"Visakhapatnam, Andhra Pradesh, India",,Head of Marketing,6,medium,medium,LinkedIn
GetMyCourse,India,,Head of Marketing (Digital Courses & CPD) - WFH(INDIA),16,medium,medium,LinkedIn
Howell Protection Systems India Pvt. Ltd.,"New Delhi, Delhi, India",pipeline,Head of Marketing,16,medium,medium,LinkedIn
PD Consulting,India,,"Chief marketing officer (EdTech, 5+ exp, Part-time, Equity only)",6,medium,medium,LinkedIn
PHC Partners,"Gurugram, Haryana, India",,Head of Marketing,16,medium,medium,LinkedIn
"Queen Elizabeth’s School, Gurugram","Gurugram, Haryana, India",us market,Head of Marketing,16,high,high,LinkedIn
Randstad India,"Bengaluru, Karnataka, India",,Head of Marketing Real Estate,6,medium,medium,LinkedIn
Ridhira Group - Building World's largest Wellness Communities,"Hyderabad, Telangana, India",,Head of Marketing,16,medium,medium,LinkedIn
Roundglass Foundation,"Mohali district, India",,Head of Marketing,6,medium,medium,LinkedIn
SourcingXPress,"Mumbai, Maharashtra, India","US market focus, US market(s)",Chief Marketing Officer,16,high,high,LinkedIn
The Management Recruitment Group (MRG),"Ahmedabad, Gujarat, India",,Head of Marketing - Luxury,16,medium,medium,LinkedIn
The Westin Gurgaon New Delhi,"Gurugram, Haryana, India",,Multi Property Director of Marketing,16,medium,medium,LinkedIn
Unosecur,"Bengaluru, Karnataka, India","Across India/US/EU markets, Markets list includes US",Head of Marketing,16,medium,medium,LinkedIn
W Hotels,"Panaji, Goa, India",,Director of Marketing & Communications,16,medium,medium,LinkedIn
Wayvida,"Thiruvananthapuram, Kerala, India",,Head of Marketing,6,medium,medium,LinkedIn
Weekday AI (YC W21),"Bengaluru, Karnataka, India",,Head Of Marketing,16,medium,medium,LinkedIn
