company_name,location,objective_signal,title_match,open_roles,priority,fit,source
2Base Technologies,"Kochi, Kerala, India",united states,,2,medium,medium,LinkedIn
A leading aviation and hospitality training organisation - A Client of The Search House,Gurugram,,,2,low,low,Naukri
A1Apps,Remote,,,2,low,low,Naukri
AERTiCKET India,"Kochi, Kerala, India",,,2,low,low,LinkedIn
AI CERTs® - India,"Gandhinagar, Gujarat, India",us market,,2,medium,medium,LinkedIn
AMPM,"Noida, Uttar Pradesh, India",,,4,low,low,LinkedIn
Aaira India,Hisar,,,4,low,low,Naukri
Acce Global Group,Kolkata,,,2,low,low,Naukri
Accenture,Gurugram,,,2,low,low,Naukri
Accor,"Agra, Uttar Pradesh, India",,,4,low,low,LinkedIn
Accredian,"Gurugram, Haryana, India",,,2,low,low,LinkedIn
Action Tour Guide,"Mumbai(Andheri East), Mumbai (All Areas)",,,2,low,low,Naukri
Ad-Tech company,Gurugram(Sohna Road),,,2,low,low,Naukri
Adsparx,Gurugram,,,2,low,low,Naukri
Agoda,"Pune Division, Maharashtra, India",,,6,low,low,LinkedIn
Akshaya Patra Foundation,Bengaluru(Yeshwanthpur),,Chief Marketing Officer ( CMO ),2,medium,medium,Naukri
"Alchemy Cloud, Inc.",Greater Kolkata Area,,,2,low,low,LinkedIn
Alembic Limited,Mumbai,,,2,low,low,Naukri
Aliens Tattoo,Mumbai,,,2,low,low,Naukri
Align Technology,Mumbai,,,6,low,low,Naukri
Alive Wellness Clinics,"New Delhi, Delhi, India",,,2,low,low,LinkedIn
Alldigi Tech,Bengaluru,,,2,low,low,Naukri
Allied Engineering Works Limited,"Delhi, India",,,2,low,low,LinkedIn
Alorica,Bengaluru,,,2,low,low,Naukri
AlphaSense,Remote - United States,united states,,18,medium,medium,Greenhouse
Amazon,"Bengaluru, Karnataka, India",,,18,low,low,LinkedIn
Amiya Commerce &amp; Construction Co,Kolkata,,,2,low,low,Naukri
Androgynous Hr Consultant,Bengaluru(Indira Nagar),,,2,low,low,Naukri
Angel One,"Delhi, India",,,2,low,low,LinkedIn
Anjion learning,Remote,,,4,low,low,Indeed
Antier Solutions,Mohali,,,2,low,low,Naukri
AppSquadz,"Noida, Uttar Pradesh, India",,,2,low,low,LinkedIn
Apple,"Mumbai, Maharashtra, India",,,2,low,low,LinkedIn
Applied Intuition,"Sunnyvale, California, United States",united states,,6,medium,medium,Greenhouse
Apponix Technologies,Bengaluru(Rajaji Nagar),,,2,low,low,Naukri
Aretto,Pune,,,2,low,low,Naukri
Asahi India Glass Limited (AIS),Greater Delhi Area,,,2,low,low,LinkedIn
Ashiana Housing Limited,"Delhi, India",,Head of Marketing,2,medium,medium,LinkedIn
Astro Arun Pandit,Noida,,,2,low,low,Naukri
Atlys,"Delhi, Delhi",,Head of Marketing,4,medium,medium,Indeed
Attarix Talent Solutions Mumbai,"Thane, Navi Mumbai, Mumbai (All Areas)(Vashi)",,,2,low,low,Naukri
Attarix talent solutions,"Thane, Navi Mumbai, Mumbai (All Areas)(Vashi)",,,2,low,low,Naukri
Attero Recycling,Bengaluru,,,2,low,low,Naukri
Auric Ai Labs,Bengaluru,,,2,low,low,Naukri
Aurigo Software Technologies,"Bengaluru, Karnataka, India",north america,,2,medium,medium,LinkedIn
Authentica,"Pune Division, Maharashtra, India",,,2,low,low,LinkedIn
Aveksha Hospital,Bengaluru,,,2,low,low,Naukri
Axis Concept Construction,Bengaluru(JP Nagar),,,2,low,low,Naukri
B Anu Events,Remote,,,2,low,low,Indeed
B K Arogyam,"Varanasi, Bengaluru",,,2,low,low,Naukri
BDO India,Mumbai Metropolitan Region,,,2,low,low,LinkedIn
BMC Software,"Pune, Maharashtra",,,2,low,low,Indeed
Bean Hr Consulting,Jaipur,,,2,low,low,Naukri
Beekay Steel Industries,Visakhapatnam,,VP Marketing / GM - Marketing,2,medium,medium,Naukri
Bharat Aluminium Company Limited,"Mumbai, Maharashtra, India",,,2,low,low,LinkedIn
Bio-Rad Laboratories,"Gurgaon, Haryana, India",,,2,low,low,LinkedIn
Birla Pivot,"Karnataka, India",,,2,low,low,LinkedIn
Bombay Coated And Special Steels,Mumbai,,,2,low,low,Naukri
Brainstorm Force IT Pune,Remote,,,2,low,low,Indeed
Brown-Forman,"Gurgaon, Haryana, India",,,2,low,low,LinkedIn
ByteDance,Gurugram,,,2,low,low,Naukri
CAREERMAR6,Faridabad,,VP / Sr. VP Marketing @ Faridabad,2,medium,medium,Naukri
CIEL HR,Tirunelveli,,,2,low,low,Naukri
Carbolink India,Hyderabad(Sanath Nagar),,,2,low,low,Naukri
Career Stone Consultant,"Rajkot, Gujarat, India",,,2,low,low,LinkedIn
Careers at Tide,"India, Delhi NCR",,,4,low,low,Greenhouse
Certified IT Recruiter - CIR,Hybrid - Pune,,Chief Marketing Officer (CMO) &amp; Co-Founder,2,medium,medium,Naukri
Chara Automation,"Pune, Bengaluru, Delhi / NCR",,,2,low,low,Naukri
Cialfo,"Delhi, India",,"Head of Marketing, Explore",4,medium,medium,Indeed + LinkedIn
Client for Hungry Bird IT Consulting Services Pvt Ltd -  for Real Estate Industry,Hyderabad,,,2,low,low,Naukri
Cloud Counselage,Mumbai,,,2,low,low,Naukri
Compass Consult,Vadodara(Alkapuri),,,2,low,low,Naukri
Comviva,"Gurugram, Haryana, India",,,2,low,low,LinkedIn
Confidential Startup,Gurugram,,,2,low,low,Naukri
Conga,India - Bangalore,,,2,low,low,Greenhouse
Consolidated,"Kochi, Mumbai, Chennai, Coimbatore, Bengaluru",,,2,low,low,Naukri
Coram AI,"Bengaluru, Karnataka, India",us market,,2,medium,medium,LinkedIn
Crescent Construction,Mumbai(Andheri),,,2,low,low,Naukri
"Crunchyroll, LLC","Mumbai, Maharashtra, India",,,4,low,low,Greenhouse
Cvent,"Gurugram, Haryana, India",,,2,low,low,LinkedIn
Cygnus A D Management Consulting Llp,Mumbai,,,2,low,low,Naukri
Danone,"Mumbai, Maharashtra, India",,,2,low,low,LinkedIn
Dash Ast Technology,Hyderabad,,,2,low,low,Naukri
DataNimbus,"Hyderabad, Telangana, India",,Head of Marketing,4,medium,medium,LinkedIn + Naukri
Dawn Solutions Pvt Ltd,Chennai(Tambaram West),,,2,low,low,Naukri
DeHaat,"Bengaluru, Karnataka, India",,,2,low,low,LinkedIn
Deconstruct,Bengaluru(HSR Layout),,,2,low,low,Naukri
Decorpot,"Bengaluru, Karnataka, India",,,2,low,low,LinkedIn
Delaplex,"Nagpur, Maharashtra, India",,,2,low,low,LinkedIn
Delhivery,"Bengaluru, Karnataka, India",,,4,low,low,LinkedIn + Naukri
