company_name,location,objective_signal,title_match,open_roles,priority,fit,source
2Base Technologies,"Kochi, Kerala, India",Markets list includes US,Marketing & Growth Lead,4,medium,medium,LinkedIn
A leading aviation and hospitality training organisation - A Client of The Search House,Gurugram,,,4,low,low,Naukri
A1Apps,Remote,,,4,low,low,Naukri
AERTiCKET India,"Kochi, Kerala, India",,,4,low,low,LinkedIn
AI CERTs® - India,"Gandhinagar, Gujarat, India",us market,,4,medium,medium,LinkedIn
AMPM,"Noida, Uttar Pradesh, India",,,8,low,low,LinkedIn
Aaira India,Hisar,,,8,low,low,Naukri
Acce Global Group,Kolkata,,,4,low,low,Naukri
Accenture,Gurugram,,,4,low,low,Naukri
Accor,"Agra, Uttar Pradesh, India",,,8,low,low,LinkedIn
Accredian,"Gurugram, Haryana, India",,,4,low,low,LinkedIn
Action Tour Guide,"Mumbai(Andheri East), Mumbai (All Areas)",,,4,low,low,Naukri
Ad-Tech company,Gurugram(Sohna Road),,,4,low,low,Naukri
Adsparx,Gurugram,,,4,low,low,Naukri
Agoda,"Pune Division, Maharashtra, India",,,12,low,low,LinkedIn
Akshaya Patra Foundation,Bengaluru(Yeshwanthpur),,Chief Marketing Officer ( CMO ),4,low,low,Naukri
"Alchemy Cloud, Inc.",Greater Kolkata Area,,,4,low,low,LinkedIn
Alembic Limited,Mumbai,,,4,low,low,Naukri
Aliens Tattoo,Mumbai,,,4,low,low,Naukri
Align Technology,Mumbai,,,12,low,low,Naukri
Alive Wellness Clinics,"New Delhi, Delhi, India",,,4,low,low,LinkedIn
Alldigi Tech,Bengaluru,,,4,low,low,Naukri
Allied Engineering Works Limited,"Delhi, India",,,4,low,low,LinkedIn
Alorica,Bengaluru,,,4,low,low,Naukri
AlphaSense,Remote - United States,united states,,36,low,low,Greenhouse
Amazon,"Bengaluru, Karnataka, India",,,36,low,low,LinkedIn
Amiya Commerce &amp; Construction Co,Kolkata,,,4,low,low,Naukri
Androgynous Hr Consultant,Bengaluru(Indira Nagar),,,4,low,low,Naukri
Angel One,"Delhi, India",,,4,low,low,LinkedIn
Anjion learning,Remote,,,8,low,low,Indeed
Antier Solutions,Mohali,,,4,low,low,Naukri
AppSquadz,"Noida, Uttar Pradesh, India",,,4,low,low,LinkedIn
Apple,"Mumbai, Maharashtra, India",,,4,low,low,LinkedIn
Applied Intuition,"Sunnyvale, California, United States",united states,,12,low,low,Greenhouse
Apponix Technologies,Bengaluru(Rajaji Nagar),,,4,low,low,Naukri
Aretto,Pune,,,4,low,low,Naukri
Asahi India Glass Limited (AIS),Greater Delhi Area,,,4,low,low,LinkedIn
Ashiana Housing Limited,"Delhi, India",,Head of Marketing,4,medium,medium,LinkedIn
Astro Arun Pandit,Noida,,,4,low,low,Naukri
Atlys,"Delhi, Delhi",,Head of Marketing,8,medium,medium,Indeed
